2017-04-18 05:14:38,453 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'blog_ad'; args=[u'blog_ad']
2017-04-18 05:14:38,455 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'blog_ad'; args=[u'blog_ad']
2017-04-18 05:14:38,456 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'blog_ad'; args=[u'blog_ad']
2017-04-18 05:14:38,456 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'blog_ad'; args=[u'blog_ad']
2017-04-18 05:14:38,462 [MainThread:140694508766976] [django.db.backends.schema:110] [schema:execute] [DEBUG]- CREATE TABLE `blog_article` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `title` varchar(50) NOT NULL, `desc` varchar(200) NOT NULL, `content` longtext NOT NULL, `click_count` integer NOT NULL, `url` varchar(100) NULL, `is_recommend` bool NOT NULL, `date_publish` date NOT NULL); (params None)
2017-04-18 05:14:38,704 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.242) CREATE TABLE `blog_article` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `title` varchar(50) NOT NULL, `desc` varchar(200) NOT NULL, `content` longtext NOT NULL, `click_count` integer NOT NULL, `url` varchar(100) NULL, `is_recommend` bool NOT NULL, `date_publish` date NOT NULL); args=None
2017-04-18 05:14:38,706 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'blog_article'; args=[u'blog_article']
2017-04-18 05:14:38,707 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SELECT engine FROM information_schema.tables WHERE table_name = 'blog_article'; args=[u'blog_article']
2017-04-18 05:14:38,707 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SELECT engine FROM information_schema.tables WHERE table_name = 'blog_article'; args=[u'blog_article']
2017-04-18 05:14:38,708 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SELECT engine FROM information_schema.tables WHERE table_name = 'blog_article'; args=[u'blog_article']
2017-04-18 05:14:38,708 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SELECT engine FROM information_schema.tables WHERE table_name = 'blog_article'; args=[u'blog_article']
2017-04-18 05:14:38,709 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SELECT engine FROM information_schema.tables WHERE table_name = 'blog_article'; args=[u'blog_article']
2017-04-18 05:14:38,709 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SELECT engine FROM information_schema.tables WHERE table_name = 'blog_article'; args=[u'blog_article']
2017-04-18 05:14:38,710 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SELECT engine FROM information_schema.tables WHERE table_name = 'blog_article'; args=[u'blog_article']
